2018 Jul 30 00:41:18,214: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 2:Apr:Loan Product 3= [count=1, sum=1747.0], Network 2:Apr:Loan Product 1= [count=1, sum=5671.0], Network 1:Apr:Loan Product 2= [count=1, sum=1801.0], Network 3:Apr:Loan Product 3= [count=1, sum=1928.0], Network 3:Mar:Loan Product 2= [count=2, sum=5182.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:41:18,214: INFO : Jumo Loan Processor | main |  Begin Writing To File 
2018 Jul 30 00:41:18,219: INFO : Jumo Loan Processor | main |  Writing to File:  /Users/kamauwamatu/IdeaProjects/CrackJumo/OutPut.csv
2018 Jul 30 00:41:18,219: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Network 2, Apr, Loan Product 3, 1, 1747.0] ]
2018 Jul 30 00:41:18,219: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Network 2, Apr, Loan Product 1, 1, 5671.0] ]
2018 Jul 30 00:41:18,219: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Network 1, Apr, Loan Product 2, 1, 1801.0] ]
2018 Jul 30 00:41:18,220: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Network 3, Apr, Loan Product 3, 1, 1928.0] ]
2018 Jul 30 00:41:18,220: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Network 3, Mar, Loan Product 2, 2, 5182.0] ]
2018 Jul 30 00:41:18,220: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Network 1, Mar, Loan Product 1, 1, 1000.0] ]
2018 Jul 30 00:41:18,220: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Network 2, Mar, Loan Product 1, 1, 1122.0] ]
2018 Jul 30 00:41:18,221: INFO : Jumo Loan Processor | main |   ############### END PROCESSING ############### 
2018 Jul 30 00:43:38,357: INFO : Jumo Loan Processor | com.loanProcessor.com.utils.Logging | Loggers initialized...
2018 Jul 30 00:43:38,368: INFO :  ############# BEGIN PROCESSIONG ################# : /Users/kamauwamatu/IdeaProjects/CrackJumo/Loans.csv
2018 Jul 30 00:43:38,368: INFO :  Retrieve File Name : /Users/kamauwamatu/IdeaProjects/CrackJumo/Loans.csv
2018 Jul 30 00:43:38,368: INFO : Jumo Loan Processor | main |   /Users/kamauwamatu/IdeaProjects/CrackJumo/Loans.csv
2018 Jul 30 00:43:38,384: INFO : Jumo Loan Processor | main |  Parsing  Loans 
2018 Jul 30 00:43:38,389: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 1:Mar:Loan Product 1 ]
